,Name,Symbol,Price
1,Bitcoin,BTC,$9207.18
2,Ethereum,ETH,$270.95
3,XRP,XRP,$0.429885
4,Litecoin,LTC,$135.27
5,Bitcoin,BCH,$428.37
6,EOS,EOS,$7.03
7,Binance,BNB,$33.63
8,Bitcoin,BSV,$221.03
9,Tether,USDT,$1.00
10,Stellar,XLM,$0.129099
11,Cardano,ADA,$0.092323
12,TRON,TRX,$0.033389
13,Monero,XMR,$97.06
14,Dash,DASH,$157.87
15,Cosmos,ATOM,$6.82
16,IOTA,MIOTA,$0.437939
17,NEO,NEO,$14.11
18,Ethereum,ETC,$8.67
19,Tezos,XTZ,$1.32
20,NEM,XEM,$0.090291
21,Maker,MKR,$750.32
22,Ontology,ONT,$1.50
23,Zcash,ZEC,$98.20
24,Chainlink,LINK,$1.89
25,Bitcoin,BTG,$27.78
26,Crypto.com,CRO,$0.064465
27,Basic,BAT,$0.357968
28,VeChain,VET,$0.007572
29,Dogecoin,DOGE,$0.003155
30,USD,USDC,$0.999983
31,Qtum,QTUM,$3.57
32,OmiseGO,OMG,$2.18
33,BitTorrent,BTT,$0.001364
34,Decred,DCR,$28.66
35,Lisk,LSK,$2.20
36,Bitcoin,BCD,$1.33
37,Waves,WAVES,$2.47
38,Holo,HOT,$0.001799
39,TrueUSD,TUSD,$1.00
40,Ravencoin,RVN,$0.061767
41,Zilliqa,ZIL,$0.025454
42,Pundi,NPXS,$0.000903
43,0x,ZRX,$0.351594
44,Nano,NANO,$1.56
45,Bytom,BTM,$0.204832
46,Augur,REP,$18.64
47,Aurora,AOA,$0.029437
48,Komodo,KMD,$1.64
49,Bytecoin,BCN,$0.001014
50,Paxos,PAX,$1.02
51,ICON,ICX,$0.370112
52,Huobi,HT,$3.50
53,BitShares,BTS,$0.063889
54,KuCoin,KCS,$1.70
55,Qubitica,QBIT,$53.97
56,DigiByte,DGB,$0.012711
57,IOST,IOST,$0.012327
58,Verge,XVG,$0.009221
59,Aeternity,AE,$0.532448
60,MonaCoin,MONA,$2.17
61,GXChain,GXC,$2.31
62,Dent,DENT,$0.001917
63,Metaverse,ETP,$1.88
64,Steem,STEEM,$0.418153
65,Siacoin,SC,$0.003211
66,SOLVE,SOLVE,$0.381482
67,ThoreCoin,THR,$1401.20
68,HyperCash,HC,$2.71
69,Enjin,ENJ,$0.147608
70,THETA,THETA,$0.129855
71,aelf,ELF,$0.216920
72,HedgeTrade,HEDG,$0.365683
73,Ardor,ARDR,$0.104485
74,Maximine,MXM,$0.061688
75,Status,SNT,$0.029098
76,Stratis,STRAT,$1.00
77,Crypto.com,MCO,$6.25
78,Mixin,XIN,$215.59
79,Golem,GNT,$0.098775
80,ABBC,ABBC,$0.182881
81,WAX,WAX,$0.097686
82,VestChain,VEST,$0.012822
83,Zcoin,XZC,$11.60
84,Insight,INB,$0.241531
85,Dai,DAI,$0.997834
86,TrueChain,TRUE,$1.06
87,Cryptonex,CNX,$1.49
88,Nash,NEX,$2.17
89,Waltonchain,WTC,$1.86
90,Grin,GRIN,$5.86
91,Project,PAI,$0.052983
92,MaidSafeCoin,MAID,$0.166981
93,Nebulas,NAS,$1.54
94,Energi,NRG,$4.23
95,Egretia,EGT,$0.017287
96,NULS,NULS,$1.00
97,Horizen,ZEN,$10.29
98,Santiment,SAN,$1.05
99,Ark,ARK,$0.570141
100,ODEM,ODE,$0.279238
